jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros,Cluster,Perfil,Amarelo_Pontuacao,Vermelho_Pontuacao,Falta Cometida_Pontuacao,interceptacao_Pontuacao,recuperacoes_Pontuacao,Duelos Aereoes W_Pontuacao,Divididas Ganhas_Pontuacao,Clearence_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Otávio,Atlético Mineiro,MF,29,1917,19,89,2,0,0,25,22,102,25,24,51.0,57,30,30,0,0,volante equilibrado,-10,0,-50,44,204,100,180,150,0,618,51.36501516683518
Caio Alexandre,Bahia,MF,24,2774,80,236,6,0,0,56,9,143,7,12,36.8,59,29,18,1,1,volante criativo,-30,0,-112,18,286,28,174,90,1,455,34.883720930232556
Carlos de Pena,Bahia,MF,31,683,14,68,5,0,0,10,15,48,9,4,69.2,13,9,16,1,4,volante reserva,-25,0,-20,30,96,36,54,80,1,252,14.35793731041456
Everton Ribeiro,Bahia,MF,34,2681,85,325,4,0,0,37,38,132,14,16,46.7,53,33,9,0,1,volante criativo,-20,0,-74,76,264,56,198,45,0,545,43.98382204246714
Jean Lucas,Bahia,MF,25,2901,53,126,7,0,0,47,23,160,20,28,41.7,50,30,21,1,1,volante criativo,-35,0,-94,46,320,80,180,105,1,603,49.848331648129424
Danilo Barbosa,Botafogo (RJ),MF,27,1153,9,53,4,0,0,19,25,70,18,18,50.0,29,22,38,0,0,volante equilibrado,-20,0,-38,50,140,72,132,190,0,526,42.06268958543984
Gregore,Botafogo (RJ),MF,29,2220,29,199,9,0,0,91,33,152,69,47,59.5,97,65,58,0,2,volante defensivos,-45,0,-182,66,304,276,390,290,0,1099,100.0
Marlon Freitas,Botafogo (RJ),MF,28,2425,44,264,6,0,0,23,20,115,12,20,37.5,43,27,41,2,1,volante criativo,-30,0,-46,40,230,48,162,205,2,611,50.6572295247725
André Carrillo,Corinthians,MF,32,730,13,66,3,0,0,19,8,38,0,3,0.0,23,13,7,0,4,volante reserva,-15,0,-38,16,76,0,78,35,0,152,4.246713852376137
Breno,Corinthians,MF,18,1780,24,118,5,0,0,29,21,96,11,8,57.9,42,23,28,0,0,volante equilibrado,-25,0,-58,42,192,44,138,140,0,473,36.70374115267948
José Andrés Martínez,Corinthians,MF,29,633,6,25,5,1,0,14,11,46,10,5,66.7,17,10,12,0,4,volante reserva,-25,-10,-28,22,92,40,60,60,0,211,10.212335692618806
Barreto,Criciúma,MF,28,2281,18,92,5,0,0,50,18,138,29,13,69.0,58,40,36,0,2,volante defensivos,-25,0,-100,36,276,116,240,180,0,723,61.98179979777553
