jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas,Cluster,Perfil,PrgR_Pontuacao,xG_Pontuacao,xAG_Pontuacao,G-PK_Pontuacao,Assistencias_Pontuacao,Acoes Ofensivas_Pontuacao,Aerial Duel%_Pontuacao,Pontuacao_Total,Pontuacao
Eric Ramires,Red Bull Bragantino,MF,1106,33,2.0,0.3,2,2,9,38,36.75,5,12,29.4% (5/12),11.463414634146343,0,ata gol,132,10.0,1.2,20.0,6,22.926829268292686,73.5,265.6268292682927,7.9331484580609475
Gustavinho,Red Bull Bragantino,"MF,FW",954,33,0.9,1.5,1,3,9,45,33.5,11,30,26.8% (11/30),13.170731707317074,0,ata gol,132,4.5,6.0,10.0,9,26.34146341463415,67.0,254.84146341463415,7.171011924972122
Helinho,Red Bull Bragantino,"FW,MF",1102,74,3.4,2.1,7,2,35,43,38.5,8,18,30.8% (8/18),19.024390243902438,4,ata mobilidade,296,17.0,8.4,70.0,6,38.048780487804876,77.0,512.4487804878049,25.374562012785006
Henry Mosquera,Red Bull Bragantino,"FW,MF",1934,154,4.3,2.1,1,2,97,38,37.5,15,35,30.0% (15/35),32.926829268292686,4,ata mobilidade,616,21.5,8.4,10.0,6,65.85365853658537,75.0,802.7536585365854,45.88865085287939
Jhonatan Jowjow,Red Bull Bragantino,"MF,FW",1157,76,2.2,2.6,3,3,46,56,35.75000000000001,8,20,28.6% (8/20),24.878048780487806,4,ata mobilidade,304,11.0,10.4,30.0,9,49.75609756097561,71.50000000000001,485.65609756097564,23.48128525657046
Lincoln,Red Bull Bragantino,"MF,FW",1552,88,2.5,3.0,2,2,29,96,45.49999999999999,8,14,36.4% (8/14),30.48780487804878,4,ata mobilidade,352,12.5,12.0,20.0,6,60.97560975609756,90.99999999999999,554.4756097560976,28.34434369565555
Lucas Evangelista,Red Bull Bragantino,MF,2540,69,2.6,2.0,2,3,26,131,45.12500000000001,35,62,36.1% (35/62),38.29268292682927,1,ata criador sec,276,13.0,8.0,20.0,9,76.58536585365854,90.25000000000001,492.8353658536586,23.988600698711334
Matheus Fernandes,Red Bull Bragantino,MF,846,14,0.6,0.6,1,1,7,38,86.0,11,5,68.8% (11/5),10.975609756097562,0,ata gol,56,3.0,2.4,10.0,3,21.951219512195124,172.0,268.35121951219514,8.125664628902246
Raul,Red Bull Bragantino,MF,1305,10,0.3,1.1,1,1,9,68,51.125,9,13,40.9% (9/13),18.78048780487805,0,ata gol,40,1.5,4.4,10.0,3,37.5609756097561,102.25,198.7109756097561,3.2046100470346133
Thiago Borbas,Red Bull Bragantino,FW,956,40,2.0,0.3,2,0,2,12,35.5,31,78,28.4% (31/78),3.414634146341464,1,ata criador sec,160,10.0,1.2,20.0,0,6.829268292682928,71.0,269.0292682926829,8.17357823274636
Vinicius Mendonça,Red Bull Bragantino,FW,718,68,1.7,0.9,2,0,32,22,32.62500000000001,6,17,26.1% (6/17),13.170731707317074,0,ata gol,272,8.5,3.6,20.0,0,26.34146341463415,65.25000000000001,395.6914634146342,17.124029017030015
Vitinho,Red Bull Bragantino,"FW,MF",1915,168,3.8,2.7,3,3,72,51,41.125,24,49,32.9% (24/49),30.0,4,ata mobilidade,672,19.0,10.8,30.0,9,60.0,82.25,883.05,51.56270735990872
Alisson,São Paulo,MF,1609,28,0.6,0.6,1,2,21,114,62.5,7,7,50.0% (7/7),32.926829268292686,0,ata gol,112,3.0,2.4,10.0,6,65.85365853658537,125.0,324.25365853658536,12.075951679647577
André Silva,São Paulo,FW,1535,107,3.9,0.8,7,2,20,32,45.625,27,47,36.5% (27/47),12.682926829268293,1,ata criador sec,428,19.5,3.2,70.0,6,25.365853658536587,91.25,643.3158536585365,34.62214608133937
Damián Bobadilla,São Paulo,MF,1031,14,0.9,0.8,1,0,7,60,25.0,1,4,20.0% (1/4),16.34146341463415,0,ata gol,56,4.5,3.2,10.0,0,32.6829268292683,50.0,156.38292682926829,0.21354300418295966
