jogador,time,posicao,Minutos,Prgc,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels ,Cluster,Perfil,Prgc_Pontuacao,PrgP_Pontuacao,Aerial Duel Won_Pontuacao,Fouls_Pontuacao,Yellow Card_Pontuacao,Red Card_Pontuacao,Desarmes Certos_Pontuacao,Interceptacao_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Gustavo Henrique,Corinthians,DF,1478,6,25,69.3,52,23,13,8,1,1,7,8,87.5,19,1,69.3% (52/23),2,zagueiros equilibrados,12,50,520,-39,-40,-10,70,95,-2,656,26.254002134471715
Hugo,Corinthians,DF,1822,26,72,63.9,46,26,39,3,0,0,30,48,62.5,21,0,63.9% (46/26),4,zagueiros completos,52,144,460,-117,-15,0,300,105,0,929,40.821771611526145
Matheus Bidu,Corinthians,DF,1500,35,63,41.2,7,10,11,3,0,0,17,28,60.7,30,0,41.2% (7/10),1,zagueiros fisicos,70,126,70,-33,-15,0,170,150,0,538,19.957310565635005
Matheuzinho,Corinthians,DF,2244,43,99,36.0,9,16,18,4,0,0,30,59,50.8,26,2,36.0% (9/16),1,zagueiros fisicos,86,198,90,-54,-20,0,300,130,-4,726,29.989327641408753
Claudinho,Criciúma,DF,2047,43,113,33.3,7,14,15,3,1,0,36,85,42.4,26,0,33.3% (7/14),1,zagueiros fisicos,86,226,70,-45,-15,-10,360,130,0,802,34.044823906083245
Jonathan,Criciúma,DF,705,8,40,36.8,7,12,11,2,0,0,11,25,44.0,9,0,36.8% (7/12),0,zagueiros defensivos,16,80,70,-33,-10,0,110,45,0,278,6.08324439701174
Luis Eduardo Marques dos Santos,Criciúma,DF,749,22,58,53.3,8,7,10,0,0,0,12,21,57.1,8,1,53.3% (8/7),0,zagueiros defensivos,44,116,80,-30,0,0,120,40,-2,368,10.88580576307364
Miguel Trauco,Criciúma,DF,1446,3,81,48.1,13,14,16,3,1,0,17,32,53.1,9,0,48.1% (13/14),0,zagueiros defensivos,6,162,130,-48,-15,-10,170,45,0,440,14.727854855923159
Rodrigo Fagundes,Criciúma,DF,2880,20,113,69.1,96,43,35,9,0,0,26,38,68.4,50,1,69.1% (96/43),3,zagueiros modernos,40,226,960,-105,-45,0,260,250,-2,1584,75.77374599786553
Tobias Figueiredo,Criciúma,DF,2066,2,49,76.0,76,24,18,6,0,0,12,26,46.2,28,0,76.0% (76/24),3,zagueiros modernos,4,98,760,-54,-30,0,120,140,0,1038,46.638207043756665
Walisson Maia,Criciúma,DF,955,2,14,67.5,27,13,14,4,0,0,2,8,25.0,12,2,67.5% (27/13),0,zagueiros defensivos,4,28,270,-42,-20,0,20,60,-4,316,8.110992529348986
Wilker Ángel,Criciúma,DF,985,1,15,73.2,30,11,18,3,0,0,7,11,63.6,13,1,73.2% (30/11),0,zagueiros defensivos,2,30,300,-54,-15,0,70,65,-2,396,12.379935965848453
João Marcelo,Cruzeiro,DF,2692,43,135,60.7,85,55,20,7,1,0,19,23,82.6,39,1,60.7% (85/55),3,zagueiros modernos,86,270,850,-60,-35,-10,190,195,-2,1484,70.4375667022412
Kaiki,Cruzeiro,DF,1184,31,32,36.8,14,24,22,4,0,0,15,25,60.0,26,1,36.8% (14/24),1,zagueiros fisicos,62,64,140,-66,-20,0,150,130,-2,458,15.688367129135539
Lucas Villalba,Cruzeiro,DF,1326,16,58,57.6,38,28,18,2,0,0,9,12,75.0,18,2,57.6% (38/28),0,zagueiros defensivos,32,116,380,-54,-10,0,90,90,-4,640,25.400213447171826
Marlon,Cruzeiro,DF,2179,55,98,45.7,21,25,32,3,2,0,24,37,64.9,28,2,45.7% (21/25),1,zagueiros fisicos,110,196,210,-96,-15,-20,240,140,-4,761,31.856990394877265
William,Cruzeiro,DF,2963,84,139,50.7,34,33,43,8,0,0,57,104,54.8,48,1,50.7% (34/33),4,zagueiros completos,168,278,340,-129,-40,0,570,240,-2,1425,67.28922091782283
Zé Ivaldo,Cruzeiro,DF,2361,23,80,71.2,52,21,29,9,0,0,19,34,55.9,19,3,71.2% (52/21),3,zagueiros modernos,46,160,520,-87,-45,0,190,95,-6,873,37.83351120597652
Alan Empereur,Cuiabá,DF,2548,17,95,52.5,42,38,13,9,0,0,12,21,57.1,26,2,52.5% (42/38),3,zagueiros modernos,34,190,420,-39,-45,0,120,130,-4,806,34.25827107790822
Bruno Fabiano Alves,Cuiabá,DF,2015,11,42,58.6,41,29,15,3,0,0,13,24,54.2,30,0,58.6% (41/29),0,zagueiros defensivos,22,84,410,-45,-15,0,130,150,0,736,30.52294557097118
Marllon Borges,Cuiabá,DF,2881,4,56,69.6,78,34,28,4,0,0,29,41,70.7,34,1,69.6% (78/34),3,zagueiros modernos,8,112,780,-84,-20,0,290,170,-2,1254,58.164354322305236
Matheus Alexandre,Cuiabá,DF,2464,37,86,62.3,48,29,26,6,0,0,40,70,57.1,38,0,62.3% (48/29),4,zagueiros completos,74,172,480,-78,-30,0,400,190,0,1208,55.70971184631803
Ramon,Cuiabá,DF,2636,48,88,47.4,18,20,36,9,0,0,26,52,50.0,28,1,47.4% (18/20),4,zagueiros completos,96,176,180,-108,-45,0,260,140,-2,697,28.441835645677692
Ayrton Lucas,Flamengo,DF,2393,60,106,52.4,33,30,21,3,0,0,21,41,51.2,16,0,52.4% (33/30),1,zagueiros fisicos,120,212,330,-63,-15,0,210,80,0,874,37.886872998932766
David Luiz,Flamengo,DF,1756,32,104,75.0,39,13,22,5,0,0,2,6,33.3,15,1,75.0% (39/13),0,zagueiros defensivos,64,208,390,-66,-25,0,20,75,-2,664,26.680896478121664
Fabrício Bruno,Flamengo,DF,2310,11,115,61.3,38,24,10,6,0,0,18,21,85.7,14,0,61.3% (38/24),0,zagueiros defensivos,22,230,380,-30,-30,0,180,70,0,822,35.11205976520811
Guillermo Varela,Flamengo,DF,1038,14,24,63.2,12,7,10,2,0,0,10,15,66.7,13,0,63.2% (12/7),0,zagueiros defensivos,28,48,120,-30,-10,0,100,65,0,321,8.377801494130203
