jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas,Cluster,Perfil,xG_Pontuacao,xAG_Pontuacao,G-PK_Pontuacao,Assistencias_Pontuacao,Acoes Ofensivas_Pontuacao,Key_Pass_Pontuacao,Passing 1/3_Pontuacao,Cross_Pontuacao,%Dribles_Pontuacao,Pontuacao_Total,Pontuacao
Thaciano,Bahia,"FW,MF",2343,5.7,2.6,7,2,20,50,24,38,11,20,10,,17.073170731707318,2,mei assist,6.2700000000000005,4.8100000000000005,12.6,4,20.48780487804878,36.0,41.800000000000004,11.0,,136.96780487804878,16.61585490177215
Carlos Eduardo,Botafogo (RJ),"MF,FW",823,1.7,0.5,2,1,11,41,13,39,11,9,4,,12.682926829268293,1,mei apoio,1.87,0.925,3.6,2,15.21951219512195,19.5,42.900000000000006,11.0,,97.01451219512195,11.162953887595178
Danilo Barbosa,Botafogo (RJ),MF,1153,1.3,0.4,3,1,9,53,7,60,0,19,13,,15.121951219512194,1,mei apoio,1.4300000000000002,0.7400000000000001,5.4,2,18.146341463414632,10.5,66.0,0.0,,104.21634146341464,12.14587317869491
Gregore,Botafogo (RJ),MF,2220,1.2,1.7,3,2,29,199,17,194,24,14,9,,55.60975609756098,5,dribladores_cross,1.32,3.145,5.4,4,66.73170731707317,25.5,213.4,24.0,,343.4967073170732,44.8033104515337
Igor Jesus,Botafogo (RJ),FW,1454,6.8,2.6,5,3,20,35,21,28,6,27,9,,13.414634146341465,2,mei assist,7.48,4.8100000000000005,9.0,6,16.097560975609756,31.5,30.800000000000004,6.0,,111.68756097560976,13.16555936021949
Jefferson Savarino,Botafogo (RJ),"MF,FW",2009,5.2,6.5,8,7,46,124,75,80,116,19,8,,41.46341463414634,3,mei completos,5.720000000000001,12.025,14.4,14,49.756097560975604,112.5,88.0,116.0,,412.4010975609756,54.2075120632517
Júnior Santos,Botafogo (RJ),FW,1481,6.3,1.5,4,1,44,30,19,18,20,57,25,,18.048780487804876,2,mei assist,6.930000000000001,2.7750000000000004,7.2,2,21.65853658536585,28.5,19.8,20.0,,108.86353658536585,12.780131165756758
Luiz Henrique,Botafogo (RJ),"FW,MF",2533,7.1,3.8,6,3,85,74,32,45,57,159,90,,38.78048780487805,0,construtores diretos,7.8100000000000005,7.03,10.8,6,46.53658536585366,48.0,49.50000000000001,57.0,,232.67658536585367,29.67837043282902
Marlon Freitas,Botafogo (RJ),MF,2425,1.7,4.3,0,5,44,264,43,211,21,11,5,,75.1219512195122,5,dribladores_cross,1.87,7.955,0.0,10,90.14634146341463,64.5,232.10000000000002,21.0,,427.5713414634147,56.27797566727578
Tchê Tchê,Botafogo (RJ),"MF,FW",1570,0.7,2.8,0,0,30,94,19,91,20,15,10,,30.24390243902439,4,finalizadores criativos,0.77,5.18,0.0,0,36.292682926829265,28.5,100.10000000000001,20.0,,190.84268292682927,23.96880023927606
Thiago Almada,Botafogo (RJ),"FW,MF",1252,3.4,2.6,1,2,65,112,43,80,57,50,25,,43.170731707317074,0,construtores diretos,3.74,4.8100000000000005,1.8,4,51.80487804878049,64.5,88.0,57.0,,275.65487804878046,35.544129173121114
Tiquinho Soares,Botafogo (RJ),FW,1349,6.7,2.1,3,3,7,27,23,17,7,19,9,,8.292682926829269,2,mei assist,7.370000000000001,3.8850000000000002,5.4,6,9.951219512195122,34.5,18.700000000000003,7.0,,92.80621951219513,10.588598136223244
Óscar Romero,Botafogo (RJ),"MF,FW",678,1.4,1.5,0,4,12,52,15,56,48,22,11,,15.609756097560975,4,finalizadores criativos,1.54,2.7750000000000004,0.0,8,18.73170731707317,22.5,61.60000000000001,48.0,,163.14670731707318,20.188801061496246
André Carrillo,Corinthians,MF,730,0.2,2.2,0,2,13,66,10,57,16,11,8,,19.26829268292683,1,mei apoio,0.22000000000000003,4.07,0.0,4,23.121951219512194,15.0,62.7,16.0,,125.11195121951219,14.997745552146652
Breno,Corinthians,MF,1780,1.4,1.0,0,0,24,118,16,107,15,42,27,,34.63414634146341,4,finalizadores criativos,1.54,1.85,0.0,0,41.56097560975609,24.0,117.7,15.0,,201.6509756097561,25.443936483990093
Igor Coronado,Corinthians,"MF,FW",1378,1.1,4.0,1,2,72,114,42,89,106,78,30,,45.36585365853659,0,construtores diretos,1.2100000000000002,7.4,1.8,4,54.4390243902439,63.0,97.9,106.0,,335.7490243902439,43.745892019853784
José Andrés Martínez,Corinthians,MF,633,0.0,0.1,0,0,6,25,4,26,2,6,4,,7.560975609756097,1,mei apoio,0.0,0.18500000000000003,0.0,0,9.073170731707316,6.0,28.6,2.0,,45.85817073170732,4.181039569263145
Memphis,Corinthians,FW,793,3.7,0.9,6,1,24,31,13,18,6,31,13,,13.414634146341465,2,mei assist,4.07,1.665,10.8,2,16.097560975609756,19.5,19.8,6.0,,79.93256097560976,8.831576850207627
Rodrigo Garro,Corinthians,"MF,FW",2995,6.0,7.4,9,10,64,246,106,197,225,71,28,,75.60975609756098,3,mei completos,6.6000000000000005,13.690000000000001,16.2,20,90.73170731707317,159.0,216.70000000000002,225.0,,747.9217073170732,100.0
Wesley,Corinthians,FW,1438,1.8,2.4,2,1,79,45,29,25,43,130,61,,30.24390243902439,0,construtores diretos,1.9800000000000002,4.44,3.6,2,36.292682926829265,43.5,27.500000000000004,43.0,,162.31268292682927,20.07497183396545
Yuri Alberto,Corinthians,FW,2197,10.7,1.9,12,4,52,31,22,19,9,52,21,,20.243902439024392,2,mei assist,11.77,3.515,21.6,8,24.29268292682927,33.0,20.900000000000002,9.0,,132.07768292682928,15.948441801208132
Ángel Romero,Corinthians,FW,1449,5.2,2.8,5,4,33,53,22,42,53,48,24,,20.975609756097562,2,mei assist,5.720000000000001,5.18,9.0,8,25.170731707317074,33.0,46.2,53.0,,185.27073170731708,23.208329789519954
