jogador,time,posicao,idade,Minutos,Prgc,PrgP,xAG,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Cross,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels ,Cluster,Perfil,Prgc_Pontuacao,PrgP_Pontuacao,xAG_Pontuacao,Fouls_Pontuacao,Yellow Card_Pontuacao,Red Card_Pontuacao,Cross_Pontuacao,Desarmes Certos_Pontuacao,Interceptacao_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Tobias Figueiredo,Criciúma,DF,29,2066,2,49,0.5,76.0,76,24,18,6,0,0,0,12,26,46.2,28,0,76.0% (76/24),2,Laterais aereo,4,98,5.0,-54,-30,0,0,120,140,0,283.0,7.911936704506364
Walisson Maia,Criciúma,DF,32,955,2,14,0.7,67.5,27,13,14,4,0,0,0,2,8,25.0,12,2,67.5% (27/13),3,Laterais criativos,4,28,7.0,-42,-20,0,0,20,60,-4,53.0,0.0
Wilker Ángel,Criciúma,DF,30,985,1,15,0.0,73.2,30,11,18,3,0,0,0,7,11,63.6,13,1,73.2% (30/11),3,Laterais criativos,2,30,0.0,-54,-15,0,0,70,65,-2,96.0,1.479188166494668
João Marcelo,Cruzeiro,DF,23,2692,43,135,0.8,60.7,85,55,20,7,1,0,6,19,23,82.6,39,1,60.7% (85/55),2,Laterais aereo,86,270,8.0,-60,-35,-10,60,190,195,-2,702.0,22.325421396628826
Kaiki,Cruzeiro,DF,20,1184,31,32,1.0,36.8,14,24,22,4,0,0,30,15,25,60.0,26,1,36.8% (14/24),4,Laterais equilibrados,62,64,10.0,-66,-20,0,300,150,130,-2,628.0,19.77984176126591
Lucas Villalba,Cruzeiro,DF,29,1326,16,58,0.3,57.6,38,28,18,2,0,0,11,9,12,75.0,18,2,57.6% (38/28),3,Laterais criativos,32,116,3.0,-54,-10,0,110,90,90,-4,373.0,11.007911936704506
Marlon,Cruzeiro,DF,26,2179,55,98,2.0,45.7,21,25,32,3,2,0,80,24,37,64.9,28,2,45.7% (21/25),1,Laterais moderno,110,196,20.0,-96,-15,-20,800,240,140,-4,1371.0,45.338837289301686
William,Cruzeiro,DF,28,2963,84,139,4.5,50.7,34,33,43,8,0,0,183,57,104,54.8,48,1,50.7% (34/33),0,Laterais protetores,168,278,45.0,-129,-40,0,1830,570,240,-2,2960.0,100.0
Zé Ivaldo,Cruzeiro,DF,26,2361,23,80,0.4,71.2,52,21,29,9,0,0,12,19,34,55.9,19,3,71.2% (52/21),2,Laterais aereo,46,160,4.0,-87,-45,0,120,190,95,-6,477.0,14.585483316133471
Alan Empereur,Cuiabá,DF,29,2548,17,95,1.1,52.5,42,38,13,9,0,0,12,12,21,57.1,26,2,52.5% (42/38),2,Laterais aereo,34,190,11.0,-39,-45,0,120,120,130,-4,517.0,15.961472308221532
Bruno Fabiano Alves,Cuiabá,DF,32,2015,11,42,0.0,58.6,41,29,15,3,0,0,2,13,24,54.2,30,0,58.6% (41/29),3,Laterais criativos,22,84,0.0,-45,-15,0,20,130,150,0,346.0,10.079119367045063
Marllon Borges,Cuiabá,DF,31,2881,4,56,0.4,69.6,78,34,28,4,0,0,1,29,41,70.7,34,1,69.6% (78/34),2,Laterais aereo,8,112,4.0,-84,-20,0,10,290,170,-2,488.0,14.963880288957688
Matheus Alexandre,Cuiabá,DF,24,2464,37,86,0.7,62.3,48,29,26,6,0,0,49,40,70,57.1,38,0,62.3% (48/29),0,Laterais protetores,74,172,7.0,-78,-30,0,490,400,190,0,1225.0,40.31647746818025
Ramon,Cuiabá,DF,22,2636,48,88,1.5,47.4,18,20,36,9,0,0,87,26,52,50.0,28,1,47.4% (18/20),0,Laterais protetores,96,176,15.0,-108,-45,0,870,260,140,-2,1402.0,46.40522875816993
Ayrton Lucas,Flamengo,DF,26,2393,60,106,2.1,52.4,33,30,21,3,0,0,82,21,41,51.2,16,0,52.4% (33/30),4,Laterais equilibrados,120,212,21.0,-63,-15,0,820,210,80,0,1385.0,45.82043343653251
